Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-09-07,92.74,93.36,92.33,92.97,7733915.0,0.0,1.0,87.556745434668,88.14209352793405,87.16966040525013,87.77389069507315,7733915.0
2017-09-06,92.79,92.91,92.36,92.72,6747154.0,0.0,1.0,87.60395092606043,87.71724410540224,87.19798370008557,87.53786323811103,6747154.0
2017-09-05,92.18,92.74,92.04,92.72,6532090.0,0.0,1.0,87.02804393107286,87.556745434668,86.89586855517408,87.53786323811103,6532090.0
2017-09-01,92.42,92.66,92.26,92.53,4960653.0,0.0,1.0,87.25463028975649,87.48121664844012,87.10357271730074,87.35848237081981,4960653.0
2017-08-31,91.89,92.39,91.84,92.27,5864440.0,0.0,1.0,86.75425208099679,87.22630699492103,86.70704658960437,87.11301381557921,5864440.0
2017-08-30,92.08,92.08,91.66,91.87,4709627.0,0.0,1.0,86.93363294828801,86.93363294828801,86.53710682059165,86.73536988443983,4709627.0
2017-08-29,92.48,92.69,92.24,92.32,3675977.0,0.0,1.0,87.3112768794274,87.50953994327557,87.08469052074376,87.16021930697163,3675977.0
2017-08-28,92.52,92.7056,91.975,92.47,5386538.0,0.0,1.0,87.34904127254133,87.52426805659002,86.8345014163639,87.30183578114891,5386538.0
2017-08-25,92.65,92.86,92.41,92.51,4932978.0,0.0,1.0,87.47177555016164,87.67003861400981,87.245189191478,87.33960017426286,4932978.0
2017-08-24,92.44,92.57,92.04,92.27,5173694.0,0.0,1.0,87.27351248631345,87.39624676393375,86.89586855517408,87.11301381557921,5173694.0
2017-08-23,92.5,92.6644,92.28,92.44,3631851.0,0.0,1.0,87.33015907598437,87.48537073168265,87.1224549138577,87.27351248631345,3631851.0
2017-08-22,92.91,92.96,92.59,92.79,4731427.0,0.0,1.0,87.71724410540224,87.76444959679466,87.41512896049073,87.60395092606043,4731427.0
2017-08-21,92.38,92.96,92.36,92.86,4334267.0,0.0,1.0,87.21686589664255,87.76444959679466,87.19798370008557,87.67003861400981,4334267.0
2017-08-18,91.98,92.78,91.85,92.47,6815008.0,0.0,1.0,86.83922196550316,87.59450982778195,86.71648768788285,87.30183578114891,6815008.0
